代码	名称	公告时间	类型	公告内容
002155	湖南黄金	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约6.474亿元至6.893亿元，同比上升68.50%至79.40%，每股收益约0.54元至0.57元，扣非净利润约6.509亿元至6.932亿元，同比上升68.56%至79.52%
002312	川发龙蟒	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约4.24亿元，同比上升30.46%，每股收益约0.22元，扣非净利润约4.26亿元，同比上升41.94%
002319	乐通股份	2024-10-15	业绩预告	预计2024年1-9月业绩首亏，归属净利润约-3000万元至-1500万元，每股收益约-0.15元至-0.075元，扣非净利润约-3200万元至-1600万元
002364	中恒电气	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约8002万元至8602万元，同比上升163.72%至183.49%，每股收益约0.14元至0.15元，扣非净利润约4978万元至5378万元，同比上升454.79%至499.37%
002371	北方华创	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约41.3亿元至47.5亿元，同比上升43.19%至64.69%，营业收入约188.3亿元至216.8亿元，同比上升29.08%至48.61%，每股收益约7.776元至8.943元，扣非净利润约39.5亿元至45.4亿元，同比上升49.62%至71.97%
002385	大北农	2024-10-15	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.2亿元至1.6亿元，同比上升113.21%至117.61%，每股收益约0.03元至0.04元，扣非净利润约6000万元至1亿元，同比上升106.74%至111.24%
002468	申通快递	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约6.16亿元至6.64亿元，同比上升178.68%至200.40%，每股收益约0.4096元至0.4415元，扣非净利润约6.01亿元至6.49亿元，同比上升186.76%至209.66%
002495	佳隆股份	2024-10-15	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1500万元至1700万元，每股收益约0.0161元至0.0182元，扣非净利润约1380万元至1580万元
002536	飞龙股份	2024-10-15	报表披露	2024年三季报归属净利润2.666亿元，同比增长18.74%，基本每股收益0.46元
002538	司尔特	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.3亿元至2.6亿元，同比上升86.70%至111.05%，每股收益约0.2695元至0.3046元，扣非净利润约2.101亿元至2.401亿元，同比上升107.58%至137.22%
002562	兄弟科技	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约3000万元至3900万元，同比上升1035.07%至1375.60%，每股收益约0.03元至0.04元，扣非净利润约2000万元至2900万元
002611	东方精工	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约3.126亿元至3.398亿元，同比上升15.00%至25.00%，每股收益约0.25元至0.28元，扣非净利润约3.565亿元至3.81亿元，同比上升45.00%至55.00%
002707	众信旅游	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.15亿元至1.35亿元，同比上升713.72%至855.23%，每股收益约0.117元至0.137元，扣非净利润约1.05亿元至1.25亿元，同比上升927.86%至1123.64%
002800	天顺股份	2024-10-15	报表披露	2024年三季报归属净利润1810万元，同比增长10.93%，基本每股收益0.1189元
002836	新宏泽	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约3677万元至4698万元，同比上升260.00%至360.00%，每股收益约0.16元至0.21元，扣非净利润约3427万元至4418万元，同比上升366.08%至500.91%
002843	泰嘉股份	2024-10-15	报表披露	2024年三季报归属净利润6602万元，同比下降35.67%，基本每股收益0.26元
002852	道道全	2024-10-15	报表披露	2024年三季报归属净利润1.115亿元，同比下降39.84%，基本每股收益0.32元
002906	华阳集团	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.5亿元至4.75亿元，同比上升51.26%至59.67%，每股收益约0.86元至0.91元，扣非净利润约4.35亿元至4.6亿元，同比上升55.46%至64.39%
002917	金奥博	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约1.065亿元至1.135亿元，同比上升31.79%至40.45%，每股收益约0.3102元至0.3306元，扣非净利润约1.017亿元至1.087亿元，同比上升34.22%至43.45%
002947	恒铭达	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.65亿元至3.2亿元，同比上升35.82%至64.01%，每股收益约1.13元至1.37元，扣非净利润约2.56亿元至3.16亿元，同比上升41.11%至74.18%
002969	嘉美包装	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约6533万元至8315万元，同比上升10.98%至41.25%，每股收益约0.0684元至0.087元，扣非净利润约6452万元至8234万元，同比上升31.78%至68.17%
002970	锐明技术	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.087亿元至2.287亿元，同比上升156.51%至181.09%，营业收入约18.52亿元至19.52亿元，同比上升49.84%至57.93%，每股收益约1.21元至1.32元，扣非净利润约1.911亿元至2.111亿元，同比上升159.13%至186.25%
002976	瑞玛精密	2024-10-15	业绩预告	预计2024年1-9月业绩首亏，归属净利润约-663.6万元至-449.9万元，同比下降107.74%至111.41%，每股收益约-0.05元至-0.04元，扣非净利润约-1409万元至-955.2万元，同比下降117.15%至125.30%
002998	优彩资源	2024-10-15	报表披露	2024年三季报归属净利润9700万元，同比下降12.71%，基本每股收益0.3元
003000	劲仔食品	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.084亿元至2.234亿元，同比上升56.47%至67.75%，每股收益约0.47元至0.5元，扣非净利润约1.829亿元至1.979亿元，同比上升67.14%至80.86%
003025	思进智能	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.48亿元至1.57亿元，同比上升126.25%至140.00%，每股收益约0.63元至0.66元，扣非净利润约9200万元至9900万元，同比上升48.75%至60.06%
