"代码","名称","备注","涨幅","时间"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-0.58%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.99%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.33%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","12.76%","20250801"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-0.58%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","12.76%","20250801"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-0.58%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.97%","20250804"
"111","****","国内老牌医药企业，核心品种新活素加速放量","10.0%","20250804"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.97%","20250804"
"111","****","国内老牌医药企业，核心品种新活素加速放量","10.0%","20250804"
"111","****","公司在妇科产品领域深耕多年，核心产品“洁尔阴洗液”在妇科炎症","-1.17%","20250804"
"111","****","构建了新材料和节能环保两大业务板块协同发展的产业格局","7.11%","20250804"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.97%","20250804"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","1.3%","20250804"
