
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
002574	明牌珠宝	20250527	2	68.0%	13.0%	 3.0%	15.0%	0.705	-2.0	4天2板,珠宝首饰,太阳能       
300422	博世科：	20250528	1	64.0%	23.0%	 0.0%	12.0%	0.491	-3.0	海绵城市人气龙头,医废处理,动力电池回收
603006	联明股份	20250528	2	60.0%	25.0%	10.0%	 5.0%	0.454	 1.0	3天2板,特斯拉,汽车零部件      
600678	四川金顶	20250528	2	58.0%	24.0%	 9.0%	10.0%	 1.59	-3.0	3天2板,新能源车,无人驾驶      
601086	国芳集团	20250528	2	56.0%	15.0%	 8.0%	22.0%	0.078	 0.0	商业百货人气龙头,新零售,商业百货   
002973	侨银股份	20250528	2	49.0%	46.0%	 4.0%	 2.0%	0.761	-8.0	3天2板,医废处理,无人驾驶      

2025-06-01 09:52:04
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
600893	航发动力	 1.26%	 5%	 1%	 33	 18	1094	 920	-4.0	F	通用航空成长龙头,航天航空,航母概念 	192+355     	 1/100%/0.1%
600960	渤海汽车	 1.32%	11%	 1%	 60	 12	1360	1359	 4.0	F	央国企改革,氢能源          	2+20        	 5/40%/-1.5%
600196	复星医药	 5.23%	 8%	 5%	 65	  4	 899	 424	 7.0	F	肝素概念业绩龙头,创新药,肝素概念  	68+243      	 1/100%/5.5%
