
2025-05-21 09:48:25
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	-0.11%/339	央国企改革(23),谷子经济(15),参股银行(14),固态电池(12),绿色电力(12)
飙升	  1.18%/78	       黄金(10),贵金属(7),机构推荐(6),央国企改革(6),人脑工程(4)
大涨	  10.9%/34	    央国企改革(4),西部大开发(3),房地产开发(3),固态电池(3),京津冀(3)

2025-05-21 09:48:25
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.7/0.2),医药商业(7.5/1.8),电池(6.8/1.3),珠宝首饰(6.6/0.4),贵金属(6.5/1.5)

(今日与昨日量比)上证：1% 深证：2% 创业板：0% 沪深300：2% 中证1000：9% 银行板块：-40%：

2025-05-21 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300240	飞力达：	20250514	1	70.0%	14.0%	6.0%	10.0%	1.128	 3.0	创投,快递概念        
603839	安正时尚	20250515	2	67.0%	20.0%	1.0%	11.0%	0.615	-5.0	纺织服装,婴童概念      
600340	华夏幸福	20250516	2	55.0%	16.0%	1.0%	28.0%	3.587	-8.0	4天2板,PPP模式,低空经济
603980	吉华集团	20250516	2	54.0%	24.0%	8.0%	14.0%	1.939	 4.0	4天2板,化工原料,化学制品 

2025-05-21 09:48:46
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
002512	达华智能	 0.19%	12	 -3%	223	-13	  91	 629	-7.0	T1	互联金融,移动支付           	2+42         	 12/67%/1.8%
002292	奥飞娱乐	  0.1%	10	  6%	  9	  0	 717	 126	 4.0	T1	昨日首板,婴童概念,NFT概念     	101-15/10+76 	 4/100%/4.8%
000628	高新发展	-0.18%	 9	  0%	237	 53	1360	1056	-5.0	T1	参股期货,成渝特区           	3/74         	  8/50%/2.6%
002094	青岛金王	-0.24%	16	 -5%	124	-10	 -39	 -35	-3.0	T1	化债(AMC)概念人气龙头,参股银行,美	41-9/5+27    	 26/69%/4.7%
605300	佳禾食品	-0.26%	12	  9%	 79	  0	3273	1305	-1.0	T1	昨日首板,代糖概念,食品饮料      	66-55/3+8    	  6/50%/1.5%
603725	天安新材	-0.51%	13	 10%	 65	 -3	1105	2343	-1.0	T1	昨日首板,创投,装配建筑        	0/15         	 1/100%/3.9%
000670	盈方微：	-0.79%	14	  6%	 19	 -3	 636	 124	-1.0	T1	昨日首板,半导体概念,军民融合     	57-7/4+46    	 13/62%/1.9%
600658	电子城：	-0.85%	14	  4%	252	-22	2899	1996	-5.0	T1	REITs概念,央国企改革       	2/23         	  9/56%/2.9%
000756	新华制药	-0.94%	15	 -3%	198	  6	-160	1640	-9.0	T1	阿兹海默,化学制药           	1/38         	  2/50%/2.3%
603901	永创智能	-1.04%	13	  8%	 75	 -3	2351	1210	-1.0	T1	昨日首板,专用设备,机器人概念     	4+22         	  6/67%/2.0%
600410	华胜天成	-1.08%	 5	 -6%	115	  7	 -79	 -34	-4.0	T1	冷链物流人气龙头,参股银行,冷链物流  	105-0/3+102  	 19/79%/4.2%
600521	华海药业	-1.15%	11	  8%	 67	 -9	 837	 848	-1.0	T1	昨日首板,AI制药（医疗）,长江三角  	21/114       	         nan
002501	利源股份	-1.26%	15	 10%	 47	 -5	1481	 635	-1.0	T1	昨日首板,铁路基建,太阳能       	73-16/13+44  	 15/60%/2.1%
002522	浙江众成	-1.38%	13	 10%	 64	 -8	1785	1001	-1.0	T1	昨日首板,塑料制品,5G概念      	44-14/0+30   	  6/67%/3.5%
002688	金河生物	 -1.4%	15	  0%	141	  6	 -18	 201	-2.0	T1	节能环保,宠物经济           	2+24         	  8/88%/5.4%
