
2025-06-12 09:50:20
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.95%/338	谷子经济(24),数字货币(18),小金属(18),稀土永磁(16),新能源车(13)
飙升	 2.14%/76	  AI眼镜(17),采掘行业(10),油气设服(8),虚拟现实(7),石油行业(4)
大涨	10.74%/33	   谷子经济(4),新能源车(3),盲盒经济(3),汽车零部件(2),AI眼镜(2)

2025-06-12 09:50:20
资金流入板块信息：
板块(量比/涨幅)
采掘行业(5.9/1.9),家用轻工(5.1/1.3),石油行业(4.9/0.2),小金属(4.8/-0.6),游戏(4.4/0.9)

(今日与昨日量比)上证：-8% 深证：-4% 创业板：-3% 沪深300：0% 中证1000：-6% 银行板块：7%：

2025-06-12 09:50:33
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
603679	华体科技	20250605	2	66.0%	10.0%	7.0%	17.0%	0.784	-2.0	智慧灯杆,成渝特区

2025-06-12 09:50:35
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
002640	跨境通：	-1.34%	 14	  1%	 85	 -2	 148	 127	 4.0	T1	电商概念,进口博览           	1+54            	 31/74%/4.2%
600751	海航科技	-1.39%	 18	 -3%	214	-48	 202	 858	-2.0	T1	滨海新区,航运港口           	3+41            	  4/50%/1.2%
000948	南天信息	-1.43%	 10	  8%	 21	  0	 367	 188	-1.0	T1	昨日首板,UWB概念,碳交易      	1+-1            	 10/80%/4.3%
603586	金麒麟：	-1.62%	 10	  4%	 35	 10	1455	 537	-1.0	T1	昨日首板,新能源车,汽车零部件     	2+14            	  5/80%/3.3%
603598	引力传媒	-1.69%	 18	  4%	146	 -2	 742	1779	 2.0	T1	DeepSeek概念,电商概念     	1/23            	 11/64%/2.2%
003027	同兴科技	-1.74%	 14	  1%	270	-26	1961	1440	-5.0	T1	储能,钠离子电池            	1/13            	  5/60%/0.1%
603042	华脉科技	-1.81%	 19	-15%	163	-46	 -97	 316	-7.0	T2	物联网,数据中心            	1+18            	 13/46%/1.8%
603258	电魂网络	-1.85%	 15	  8%	 42	-14	1546	 105	 1.0	T1	昨日首板,网络游戏,创投        	1/21            	 1/100%/3.6%
603019	中科曙光	-1.88%	 12	  2%	 43	-33	  11	 122	-5.0	T1	VPN业绩龙头,央国企改革,雄安新区  	1114-183/152+779	  4/75%/5.1%
002900	哈三联：	-1.93%	 14	 -7%	194	-22	 166	   6	-9.0	T1	消毒剂人气龙头,消毒剂,病毒防治    	0+0             	 11/82%/6.0%
