
2025-04-22 22:22:12
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	93/114	74.4%/78.62%	2.05%/2.41%	24/23

2025-04-22 22:22:12
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/26/13天8板	一带一路/14/13天8板	长江三角/14/14天7板	西部大开发/12/13天12板	电商概念/11/9天5板

2025-04-22 22:22:14
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	粤港自贸	 15天9板	15天9板,粤港自贸,新材料  	8/5/20250418
002820	桂发祥：	20250416	2	67.0	14.0	 1.0	19.0	0.497	-9.0	网红经济,抖音小店       
603123	翠微股份	20250416	2	63.0	28.0	 5.0	 3.0	0.072	 0.0	今日首板,数字货币,多元金融  
002584	西陇科学	20250417	2	67.0	14.0	14.0	 5.0	0.265	 4.0	4天2板,互联金融,电子化学品 
600939	重庆建工	20250417	2	66.0	23.0	 3.0	 8.0	0.098	 3.0	4天2板,新型城镇化,装配建筑 
002153	石基信息	20250417	2	64.0	 4.0	13.0	18.0	0.138	 0.0	4天2板,云计算,远程办公   
603042	华脉科技	20250418	2	66.0	27.0	 1.0	 6.0	0.625	 3.0	3天2板,5G概念,边缘计算  
000620	新华联：	20250418	2	61.0	13.0	 0.0	26.0	 0.51	 2.0	3天2板,参股银行,京津冀   
002583	海能达：	20250418	2	48.0	40.0	 0.0	12.0	3.664	-1.0	3天2板,中俄贸易概念,互联金融
002194	武汉凡谷	20250418	2	45.0	48.0	 0.0	 7.0	1.041	 3.0	3天2板,创投,职业教育    

2025-04-22 22:23:29
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
600119	长江投资	10.03%	 4.86	 1.98	 2992	0.024	 0.0	 34	3222	今日首板,统一大市场,物流行业    	0+0 # 3+67%+2.6%       
003042	中农联合	 9.99%	 7.12	 2.53	 1695	0.026	 0.0	 50	3508	今日首板,供销社概念,农药兽药    	0+0 # 8+38%+-0.3%      
603029	天鹅股份	10.02%	11.37	 3.24	 2288	0.043	 0.0	 52	3057	今日首板,供销社概念,乡村振兴    	0+0 # 4+100%+3.5%      
600790	轻纺城：	 9.88%	 2.23	 2.02	 7542	0.029	 0.0	 66	3387	今日首板,商业百货,IPO受益    	6+28 #                 
605033	美邦股份	10.02%	 9.33	 7.35	 1479	0.028	 8.0	 68	3192	今日首板,农药兽药,西部大开发    	0+0 # 10+90%+8.0%      
002695	煌上煌：	 9.97%	 4.26	 2.12	 4539	 0.05	 6.0	 72	3380	今日首板,地摊经济,冷链物流     	1+20 # 4+50%+3.5%      
600227	赤天化：	 10.1%	 5.76	 3.65	24738	0.057	 0.0	 75	3368	今日首板,化肥行业,阿兹海默     	1+25 # 7+57%+1.8%      
002907	华森制药	10.03%	 3.41	 2.88	 4054	0.059	 1.0	 77	3395	今日首板,减肥药,幽门螺杆菌概念   	1+11 # 1+0%+-1.8%      
