
2025-04-19 19:00:16
业绩预测：
代码	名称	类型	公告时间	涨幅	Q3_R	Q3_RR	Q3_P	Q3_PR	Y_R	Y_RR	Y_P	Y_PR	Q1_R	Q1_RR	Q1_P	Q1_PR	公告内容
300515	 三德科技	报表披露	2025-04-21	 2.04%	 0.0	 0.0%	  1.0	  48.0% | 	  0.0	 0.0%	  1.0	  157.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300515	 三德科技	报表披露	2025-04-21	 2.04%	 0.0	 0.0%	  1.0	  48.0% | 	  0.0	 0.0%	  1.0	  157.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
300628	 亿联网络	报表披露	2025-04-21	  0.8%	41.0	28.0%	 21.0	  28.0% | 	 56.0	30.0%	 26.0	   33.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
300628	 亿联网络	报表披露	2025-04-21	  0.8%	41.0	28.0%	 21.0	  28.0% | 	 56.0	30.0%	 26.0	   33.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300641	 正丹股份	报表披露	2025-04-21	 3.11%	 0.0	 0.0%	  8.0	2949.0% | 	  0.0	 0.0%	 12.0	11949.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
300680	 隆盛科技	报表披露	2025-04-21	 0.35%	 0.0	 0.0%	  2.0	  58.0% | 	  0.0	 0.0%	  2.0	   53.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300686	 智动力：	报表披露	2025-04-21	 0.79%	 0.0	 0.0%	 -8.0	  55.0% | 	  0.0	 0.0%	-14.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300835	 龙磁科技	报表披露	2025-04-21	 -1.8%	 0.0	 0.0%	  1.0	  52.0% | 	  0.0	 0.0%	  1.0	   45.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300975	 商络电子	报表披露	2025-04-21	 0.39%	 0.0	 0.0%	  1.0	  62.0% | 	 65.0	27.0%	  1.0	  106.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301031	 中熔电气	报表披露	2025-04-21	 2.59%	 0.0	 0.0%	 12.0	  40.0% | 	  0.0	 0.0%	 18.0	   60.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
301031	 中熔电气	报表披露	2025-04-21	 2.59%	 0.0	 0.0%	 12.0	  40.0% | 	  0.0	 0.0%	 18.0	   60.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301049	 超越科技	报表披露	2025-04-21	-1.71%	 0.0	 0.0%	 -4.0	  39.0% | 	  0.0	 0.0%	 -6.0	   46.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
301049	 超越科技	报表披露	2025-04-21	-1.71%	 0.0	 0.0%	 -4.0	  39.0% | 	  0.0	 0.0%	 -6.0	   46.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301126	 达嘉维康	报表披露	2025-04-21	-1.14%	 0.0	 0.0%	  0.0	  53.0% | 	  0.0	 0.0%	  0.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
301126	 达嘉维康	报表披露	2025-04-21	-1.14%	 0.0	 0.0%	  0.0	  53.0% | 	  0.0	 0.0%	  0.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301190	 善水科技	报表披露	2025-04-21	-4.74%	 0.0	 0.0%	  1.0	 754.0% | 	  0.0	 0.0%	  6.0	  147.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
301190	 善水科技	报表披露	2025-04-21	-4.74%	 0.0	 0.0%	  1.0	 754.0% | 	  0.0	 0.0%	  6.0	  147.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301200	 大族数控	报表披露	2025-04-21	 3.99%	 0.0	 0.0%	  2.0	  27.0% | 	  0.0	 0.0%	  3.0	   99.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301200	 大族数控	报表披露	2025-04-21	 3.99%	 0.0	 0.0%	  2.0	  27.0% | 	  0.0	 0.0%	  3.0	   99.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
